iso_time,pid,uptime_s,pss_kb,native_heap_kb,dalvik_heap_kb,graphics_kb,cpu_pct,proc_name,memfree_kb,cached_kb,swapfree_kb,swap_kb,swappss_kb,pgfault,pgmajfault,pid_changed
NA,2192,54521.18,818224,795280,1291,0,182,jp.co.aecom.beesightm,183216,428356,938208,5664,NA,NA,NA,0
NA,2192,54828.16,825036,798904,2483,0,182,jp.co.aecom.beesightm,148240,428464,938208,5664,NA,NA,NA,0
NA,2192,55134.05,828188,802320,1875,0,181,jp.co.aecom.beesightm,135940,428476,938208,5664,NA,NA,NA,0
NA,2192,55439.15,832047,806300,1907,0,182,jp.co.aecom.beesightm,140952,428248,938168,5700,NA,NA,NA,0
NA,2192,55744.24,834837,809352,1523,0,182,jp.co.aecom.beesightm,154808,425816,937904,5872,NA,NA,NA,0
NA,2192,56050.14,838869,812340,1879,0,186,jp.co.aecom.beesightm,142452,421696,937000,6456,NA,NA,NA,0
NA,2192,56355.08,841698,814964,2415,0,183,jp.co.aecom.beesightm,146860,414136,935244,7640,NA,NA,NA,0
NA,2192,56660.11,845677,818120,939,0,184,jp.co.aecom.beesightm,141340,408960,933580,8468,NA,NA,NA,0
NA,2192,56966.31,845041,819292,1391,0,184,jp.co.aecom.beesightm,191400,401656,930208,11012,NA,NA,NA,0
NA,2192,57272.08,852061,822720,935,0,182,jp.co.aecom.beesightm,158868,402040,930208,11012,NA,NA,NA,0
NA,2192,57577.03,855981,826360,1427,0,182,jp.co.aecom.beesightm,143108,402788,930208,11012,NA,NA,NA,0
NA,2192,57882.06,859115,829936,2383,0,181,jp.co.aecom.beesightm,182292,391360,928132,11288,NA,NA,NA,0
NA,2192,58187.05,859211,833712,1513,0,183,jp.co.aecom.beesightm,143236,388652,927556,11504,NA,NA,NA,0
NA,2192,58491.99,866655,837164,804,0,182,jp.co.aecom.beesightm,160128,384316,926840,11780,NA,NA,NA,0
NA,2192,58797.03,867411,837712,1972,0,182,jp.co.aecom.beesightm,150200,384984,926840,11780,NA,NA,NA,0
NA,2192,59104.21,873027,842228,2432,0,182,jp.co.aecom.beesightm,138600,385380,926840,11780,NA,NA,NA,0
NA,2192,59409.02,876291,845656,2924,0,183,jp.co.aecom.beesightm,161968,386240,926840,11780,NA,NA,NA,0
NA,2192,59713.98,877022,851716,1390,0,182,jp.co.aecom.beesightm,138504,377484,925292,12180,NA,NA,NA,0
NA,2192,60019.11,878725,854324,1354,0,182,jp.co.aecom.beesightm,137280,373456,924644,12324,NA,NA,NA,0
NA,2192,60326.02,883793,856328,1950,0,181,jp.co.aecom.beesightm,131368,374064,924648,12324,NA,NA,NA,0
NA,2192,60631.10,886813,862416,1966,0,182,jp.co.aecom.beesightm,162448,374080,924648,12324,NA,NA,NA,0
NA,2192,60935.92,889299,866048,2442,0,181,jp.co.aecom.beesightm,153752,371332,923832,12448,NA,NA,NA,0
NA,2192,61244.01,890675,869436,778,0,181,jp.co.aecom.beesightm,177544,363232,922224,12712,NA,NA,NA,0
NA,2192,61551.09,894683,872996,2790,0,182,jp.co.aecom.beesightm,121892,363424,922224,12712,NA,NA,NA,0
NA,2192,61856.05,945355,914908,1493,0,173,jp.co.aecom.beesightm,133596,348536,908644,13392,NA,NA,NA,0
NA,2192,62161.07,949115,915252,1465,0,181,jp.co.aecom.beesightm,138796,345620,904012,15972,NA,NA,NA,0
